import,category,tier,audience,explanation,enterprise_concern,enterprise_alternative,when_to_switch
openai,llm,1,technical_hiring_manager,"OpenAI SDK provides GPT-4 and embeddings API. Reliable and well-documented for rapid AI development.","Vendor lock-in, data privacy concerns, per-token costs can scale unpredictably.","Azure OpenAI (enterprise SLA), Google Vertex AI, Anthropic Claude, or internal LLM.","When data governance requires regional compliance, or cost optimization needs dedicated endpoints."
openai,llm,2,developer,"OpenAI client initialized with retry logic and exponential backoff. Embeddings use text-embedding-3-small (1536-dim). Chat uses gpt-4-turbo or gpt-3.5-turbo based on config. All calls traced via LangSmith decorators.","Rate limits can throttle during traffic spikes. No VPC endpoints for private networking.","Azure OpenAI with private endpoints, or self-hosted models like Llama 3 via vLLM.","When SLA requires 99.9% uptime or private data cannot leave infrastructure."
openai,llm,3,advanced_technical,"Full trade-off: OpenAI excels at general intelligence but locks vendor choice. Embedding quality excellent for semantic search but costs 0.0001/1k tokens. For enterprise: Azure OpenAI provides HIPAA/SOC2 compliance + VNet integration. Alternative: Vertex AI Gemini for GCP-native workflows or Anthropic for longer context (200k tokens). For cost control: cache embeddings aggressively and implement request batching.","Production concerns: API downtime impacts entire pipeline. No fine-tuning on latest models. Token limits constrain complex prompts.","Hybrid: Azure OpenAI for compliance + Anthropic for complex reasoning + internal embeddings via sentence-transformers.","At >$10k/month API costs, evaluate ROI of self-hosted inference with TensorRT-LLM or vLLM on A100 clusters."
supabase,database,1,technical_hiring_manager,"Supabase combines Postgres database, authentication, and storage in one platform. Perfect for rapid prototyping with built-in real-time subscriptions.","Limited high-availability options on free tier. Row-level security can become complex at scale.","Managed Postgres (Cloud SQL, RDS) + separate auth (Auth0, Okta) + object storage (S3, GCS).","When traffic exceeds 10k QPS or need multi-region active-active replication."
supabase,database,2,developer,"Supabase client created per-request in serverless (stateless). Connection pooling handled by Supabase. Service role key for server-side operations (bypasses RLS). Anon key for client operations (respects RLS). All queries logged to analytics tables for observability.","Connection limits on pooler (max 15 concurrent in free tier). Migrations must be applied manually via SQL editor.","Direct Postgres with pgBouncer pooler + Auth0 + S3, deployed on Cloud Run or ECS with connection pooling at app layer.","When concurrent connections exceed pooler limits or need multi-tenant isolation."
supabase,database,3,advanced_technical,"Architecture decision: Supabase provides excellent DX but introduces single point of failure. For enterprise: separate concerns—use managed Postgres with read replicas, dedicated auth service with SSO, and CDN-backed object storage. Supabase's Realtime uses WebSockets which don't scale horizontally well. For high-throughput: migrate to PostgreSQL on Kubernetes with Patroni for HA, implement custom connection pooling, and use Redis Pub/Sub for real-time features.","Performance bottleneck: all services co-located. No VPC peering. Limited observability into Postgres query plans.","Kubernetes-hosted Postgres (Patroni/CloudNativePG) + Auth0 + S3 with CloudFront CDN + Redis for caching.","When need sub-50ms p99 latency globally, or processing >100M events/day with strict SLAs."
pgvector,vector_db,1,technical_hiring_manager,"pgvector is a Postgres extension for vector similarity search. Keeps vectors alongside structured data for simpler architecture.","Slower than dedicated vector databases at scale. Limited to Postgres query performance.","Pinecone, Weaviate, Qdrant, or Google Vertex AI Matching Engine for production workloads.","When retrieval latency exceeds 500ms or managing >1M embeddings with frequent updates."
pgvector,vector_db,2,developer,"pgvector stores embeddings in Postgres using IVFFLAT index for approximate nearest neighbor search. Custom RPC function match_kb_chunks handles cosine similarity. Index created with lists=100 for ~10k vectors. Query returns top-k with scores. Re-indexing required when data grows >100k rows.","Index maintenance: IVFFLAT requires manual VACUUM and reindexing. No filtered vector search (metadata + similarity).","Pinecone (managed, filtered search) or Qdrant (self-hosted, fast filtering) with metadata pre-filtering.","When need combined metadata + vector filtering, or retrieval latency consistently >200ms."
pgvector,vector_db,3,advanced_technical,"Trade-off analysis: pgvector simplifies stack but doesn't scale past millions of vectors. IVFFLAT index is less accurate than HNSW at high dimensionality. For enterprise: dedicated vector DB provides horizontal scaling, filtered ANN (combine metadata + vector search), and sub-100ms p99 globally. Pinecone handles index sharding automatically. Vertex Matching Engine integrates with GCP IAM. Qdrant offers hybrid search (sparse + dense). Migration path: dual-write to both pgvector and Pinecone, A/B test latency/accuracy, then cutover.","Cost: pgvector compute scales vertically (larger instance). Dedicated vector DBs scale horizontally but add $200-500/month base cost.","Pinecone Standard (managed, $70/1M vectors/month) or Vertex AI Matching Engine (pay-per-query, VPC-native).","At >5M vectors or when p99 latency >500ms. ROI: if saving 200ms per query on 1M daily queries."
langchain,orchestration,1,technical_hiring_manager,"LangChain provides abstractions for LLM workflows. Simplifies prompt management, memory, and retrieval integration.","Heavy dependency footprint. Frequent breaking changes between versions. Vendor-opinionated abstractions.","LangGraph (same vendor, more explicit), LlamaIndex (retrieval-focused), or custom orchestration.","When need fine-grained control over reasoning steps or dependency conflicts arise."
